trj_name,methods,f_x,f_y,f_z,t_x,t_y,t_z,f_xy,t_xy,f,t
3D Circle_1,NeuroBEM,0.196,0.211,0.215,0.005,0.006,0.003,0.288,0.008,0.36,0.009
,NeuroMHE,0.258,0.269,0.108,0.003,0.002,0.003,0.373,0.004,0.388,0.005
,Neuro_Predictor,0.278,0.334,0.084,0.074,0.058,0.052,0.434,0.094,0.442,0.108
Linear Oscillation,NeuroBEM,0.164,0.185,0.456,0.013,0.011,0.006,0.247,0.017,0.518,0.018
,NeuroMHE,0.119,0.105,0.186,0.011,0.007,0.005,0.159,0.013,0.244,0.014
,Neuro_Predictor,0.627,0.77,0.233,0.074,0.097,0.118,0.993,0.121,1.02,0.169
Figure-8_1,NeuroBEM,0.065,0.056,0.235,0.004,0.003,0.002,0.085,0.005,0.25,0.006
,NeuroMHE,0.039,0.056,0.039,0.002,0.001,0.002,0.069,0.002,0.079,0.003
,Neuro_Predictor,0.067,0.142,0.05,0.042,0.041,0.012,0.157,0.058,0.165,0.06
Race Track_1,NeuroBEM,0.169,0.158,0.463,0.009,0.009,0.004,0.231,0.013,0.517,0.013
,NeuroMHE,0.141,0.092,0.115,0.007,0.004,0.004,0.168,0.009,0.204,0.009
,Neuro_Predictor,0.198,0.288,0.073,0.077,0.044,0.033,0.349,0.088,0.357,0.094
Race Track_2,NeuroBEM,0.262,0.248,0.552,0.014,0.012,0.007,0.36,0.019,0.659,0.02
,NeuroMHE,0.245,0.175,0.208,0.012,0.008,0.018,0.301,0.014,0.366,0.023
,Neuro_Predictor,0.656,0.642,0.185,0.091,0.096,0.122,0.918,0.132,0.936,0.18
3D Circle_2,NeuroBEM,0.11,0.129,0.47,0.006,0.009,0.004,0.17,0.011,0.499,0.011
,NeuroMHE,0.14,0.135,0.075,0.003,0.002,0.004,0.194,0.004,0.208,0.006
,Neuro_Predictor,0.709,0.875,0.294,0.097,0.122,0.138,1.126,0.156,1.164,0.209
Figure-8_2,NeuroBEM,0.051,0.036,0.339,0.002,0.002,0.002,0.063,0.003,0.345,0.003
,NeuroMHE,0.02,0.058,0.029,0.002,0.001,0.002,0.061,0.002,0.068,0.003
,Neuro_Predictor,0.054,0.096,0.046,0.035,0.037,0.009,0.11,0.051,0.119,0.052
Melon_1,NeuroBEM,0.099,0.108,0.397,0.004,0.005,0.003,0.147,0.007,0.423,0.007
,NeuroMHE,0.053,0.059,0.06,0.003,0.001,0.002,0.079,0.003,0.099,0.004
,Neuro_Predictor,0.113,0.197,0.049,0.053,0.042,0.018,0.227,0.068,0.232,0.07
Figure-8_3,NeuroBEM,0.145,0.168,0.584,0.01,0.012,0.006,0.221,0.015,0.624,0.017
,NeuroMHE,0.118,0.133,0.151,0.01,0.006,0.005,0.178,0.012,0.233,0.013
,Neuro_Predictor,0.695,0.764,0.153,0.119,0.069,0.141,1.033,0.138,1.044,0.197
Figure-8_4,NeuroBEM,0.4,0.313,1.084,0.02,0.018,0.009,0.508,0.027,1.197,0.028
,NeuroMHE,0.169,0.174,0.237,0.01,0.01,0.007,0.242,0.017,0.339,0.018
,Neuro_Predictor,1.211,1.453,0.372,0.167,0.136,0.244,1.892,0.215,1.928,0.325
Melon_2,NeuroBEM,0.244,0.198,0.921,0.009,0.006,0.003,0.314,0.015,0.974,0.016
,NeuroMHE,0.254,0.213,0.094,0.005,0.003,0.004,0.331,0.005,0.344,0.007
,Neuro_Predictor,1.003,1.251,0.4,0.113,0.157,0.195,1.604,0.194,1.653,0.275
Random Points,NeuroBEM,0.161,0.183,0.471,0.008,0.008,0.005,0.244,0.012,0.53,0.013
,NeuroMHE,0.115,0.114,0.204,0.01,0.006,0.005,0.162,0.012,0.26,0.012
,Neuro_Predictor,0.248,0.307,0.105,0.053,0.049,0.047,0.395,0.072,0.408,0.086
Ellipse,NeuroBEM,0.204,0.315,1.039,0.012,0.008,0.005,0.375,0.022,1.105,0.023
,NeuroMHE,0.176,0.165,0.089,0.005,0.003,0.006,0.242,0.006,0.258,0.008
,Neuro_Predictor,1.183,1.628,0.602,0.154,0.215,0.231,2.012,0.264,2.1,0.351
